2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Genmodel_ID
0,0,0,0,0,0,0,0,0,0,0,3037,15027,13045,9841,7154,5232,662,0,0,291
0,0,0,9,14,222,8208,16842,7516,7482,17184,15424,17773,16161,12877,10640,7330,4753,2583,0,292
167,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
0,0,0,0,0,0,0,0,0,0,0,0,10,2592,10659,14555,13027,21921,24639,8895,294
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2305,3856,1589,990,1,295
86,1,0,1,0,1,0,1,0,0,0,0,1,1,0,3,0,2,0,0,297
10,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,299
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2911
6445,17090,32345,39201,43986,66133,73685,73429,100975,91353,87266,100228,113390,122815,125619,113568,87409,89564,74500,46739,2913
14364,24270,29093,43404,58824,68079,77257,70986,72711,64533,71077,73326,77782,77222,76895,64870,63283,47374,53901,37738,2914
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,492,250,85,142,2940
0,1089,7601,7530,7383,9490,9775,9892,9817,6267,2669,831,0,2,1,0,1,1,1,0,2918
875,1345,2679,2763,3875,3668,5776,5540,5521,5453,5636,5774,4788,5039,2900,4480,4274,2901,2245,1589,2919
0,0,0,0,0,0,0,0,0,0,2,158,1297,1040,2557,6592,3631,2738,1058,0,2920
0,0,0,0,15,13,2,1,0,0,0,0,0,0,0,0,0,8,0,0,2922
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,351,738,1089,1041,2941
1478,2943,3360,4503,5197,7394,10499,12296,19457,19267,16383,17120,18602,18490,13122,5499,2,0,0,0,2923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,13116,10768,10044,7,2924
0,0,0,0,0,0,0,3278,8915,10475,9585,9815,13018,23040,31140,33839,35323,38265,39672,15403,2925
90,255,213,59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2926
3915,4594,6222,9870,14079,15525,23237,25666,23669,22124,16107,18212,14016,12404,17937,16291,11345,7115,3836,1871,2927
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,222,636,448,2927
10,8,13,21,181,133,121,106,33,44,20,24,28,33,268,2367,1807,2028,1198,1043,2928
1074,768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,25750,2929
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,2930
0,0,0,0,1,3515,8408,7110,7822,10503,7119,7589,6711,6858,3397,6968,5176,2416,2141,1169,2931
0,0,940,1170,1357,529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2932
0,0,2,1,2,0,5,5,1,7,0,0,1,113,1718,2295,1790,1120,1874,2054,2934
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1130,291,2939
0,0,0,0,0,0,0,0,0,0,0,0,307,898,2029,1398,2600,3333,3097,2697,2935
13,21,14,24,9,22,33,36,21,16,18,224,329,124,324,245,174,322,225,39,2936
0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,8,0,24,55,16,2937
0,0,0,0,0,0,1,0,0,0,0,0,122,351,289,96,148,202,500,232,2938
1275,1297,2927,4663,5419,5192,5179,3985,3764,1526,1428,1309,519,446,168,2,6,3,1,3,341
9009,12113,13894,17205,19748,25219,33661,27536,22363,18386,11781,13703,15771,14741,15198,16278,14311,13638,12489,5648,342
2361,5648,7782,8441,12205,12396,17925,12371,10689,10678,10448,12897,14649,15363,14660,14558,11754,8207,44,0,343
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1389,7873,5420,343
0,0,0,0,0,0,0,0,0,1300,1458,629,295,165,23,0,0,0,0,0,344
0,0,0,320,2168,2579,2278,2048,1369,79,0,0,0,0,0,0,0,0,0,0,347
820,795,424,373,289,37,1,0,0,0,0,0,0,0,2754,6839,5726,5946,4663,3586,348
61,33,3,4,7,2,0,2,2139,2882,1768,1289,422,232,3,0,0,0,1,0,349
101,84,48,40,28,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3410
2,5099,9728,15897,21078,24300,23782,22718,24844,22439,19715,21027,20605,19598,17661,18273,17322,19585,16262,10537,3411
24,17,4,2,1,95,132,111,70,0,0,0,0,0,0,0,0,0,0,0,3412
2,12,7,3,10,0,0,0,0,0,0,0,0,0,0,7,44,11,9,4,3413
